load_cell, time_of_flight, time
-302863, 324.06, 15:14:47
-301803, 323.94, 15:14:48
load_cell, time_of_flight, time
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:15:21
Time of Flight..., 15:15:21
 success!, 15:15:21
Load Cell... success!, 15:15:21
Sensors initiated!, 15:15:21
-267839, 323.23, 15:15:22
-294369, 324.06, 15:15:23
-295389, 324.84, 15:15:24
-295039, 323.35, 15:15:25
-295155, 324.84, 15:15:26
-294969, 326.38, 15:15:27
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:16:13
Time of Flight..., 15:16:13
 success!, 15:16:13
Load Cell... success!, 15:16:13
Sensors initiated!, 15:16:14
-271925, 324.45, 15:16:14
-299371, 324.29, 15:16:15
-299719, 324.41, 15:16:16
-299653, 325.12, 15:16:17
-299481, 324.02, 15:16:19
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:16:53
Time of Flight..., 15:16:53
 success!, 15:16:53
Load Cell... success!, 15:16:53
Sensors initiated!, 15:16:53
-169217, 323.31, 15:16:54
-186741, 324.37, 15:16:55
-186717, 324.06, 15:16:56
-186705, 323.39, 15:16:57
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:21:11
Time of Flight..., 15:21:11
 success!, 15:21:11
Load Cell... success!, 15:21:11
Sensors initiated!, 15:21:11
-165445, 324.57, 15:21:12
-181035, 327.28, 15:21:13
-181579, 325.00, 15:21:14
-181471, 325.16, 15:21:15
-181961, 325.24, 15:21:16
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:23:00
Time of Flight..., 15:23:00
 success!, 15:23:00
Load Cell... success!, 15:23:01
Sensors initiated!, 15:23:01
-272163, 322.09, 15:23:02
-301359, 322.99, 15:23:02
-300533, 322.76, 15:23:04
-300255, 323.27, 15:23:05
-301077, 322.44, 15:23:06
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:30:12
Time of Flight..., 15:30:12
 success!, 15:30:12
Load Cell... success!, 15:30:12
Sensors initiated!, 15:30:12
-272279, 346.18, 15:30:13
-301149, 345.28, 15:30:14
-300479, 344.96, 15:30:15
-301067, 344.76, 15:30:16
-301469, 345.83, 15:30:17
-301343, 345.67, 15:30:18
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:31:17
Time of Flight..., 15:31:17
 success!, 15:31:17
Load Cell... success!, 15:31:17
Sensors initiated!, 15:31:17
-268195, 347.32, 15:31:18
-296059, 347.01, 15:31:19
-296645, 347.36, 15:31:20
-296137, 347.40, 15:31:21
-296243, 347.48, 15:31:22
-296167, 345.35, 15:31:23
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:31:57
Time of Flight..., 15:31:57
 success!, 15:31:57
Load Cell... success!, 15:31:57
Sensors initiated!, 15:31:57
-275453, 347.91, 15:31:58
-305671, 345.28, 15:31:59
-305093, 347.24, 15:32:00
-305835, 349.06, 15:32:01
-305413, 346.50, 15:32:02
-304827, 347.76, 15:32:03
-306145, 345.75, 15:32:04
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:33:08
Time of Flight..., 15:33:08
 success!, 15:33:08
Load Cell... success!, 15:33:09
Sensors initiated!, 15:33:09
-166047, 347.83, 15:33:09
-181569, 346.22, 15:33:10
-182081, 348.03, 15:33:12
-181533, 350.47, 15:33:12
-181737, 348.86, 15:33:14
-182163, 349.69, 15:33:15
-181547, 348.35, 15:33:16
-181279, 349.45, 15:33:17
-182051, 348.62, 15:33:18
-181465, 348.39, 15:33:19
-182879, 350.12, 15:33:20
-181943, 349.57, 15:33:21
-181237, 347.68, 15:33:22
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:34:05
Time of Flight..., 15:34:05
 success!, 15:34:05
Load Cell... success!, 15:34:05
Sensors initiated!, 15:34:05
-168295, 347.76, 15:34:06
-185103, 345.94, 15:34:07
-185229, 349.06, 15:34:08
-185661, 345.39, 15:34:09
-185449, 348.50, 15:34:10
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:35:10
Time of Flight..., 15:35:10
 success!, 15:35:10
Load Cell... success!, 15:35:10
Sensors initiated!, 15:35:10
-260131, 347.05, 15:35:11
-286887, 348.54, 15:35:12
-285443, 348.35, 15:35:13
-285583, 348.15, 15:35:14
-286039, 347.91, 15:35:15
-284831, 348.62, 15:35:16
-285425, 349.88, 15:35:17
-283917, 347.72, 15:35:18
-283891, 347.44, 15:35:19
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:36:39
Time of Flight..., 15:36:39
 success!, 15:36:39
Load Cell... success!, 15:36:39
Sensors initiated!, 15:36:39
-271633, 347.40, 15:36:40
-299525, 347.56, 15:36:41
-300035, 349.57, 15:36:42
-300301, 346.77, 15:36:43
-300565, 348.74, 15:36:44
-300413, 346.50, 15:36:45
-299695, 346.06, 15:36:46
-300927, 346.65, 15:36:47
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:37:35
Time of Flight..., 15:37:35
 success!, 15:37:35
Load Cell... success!, 15:37:36
Sensors initiated!, 15:37:36
-273911, 348.19, 15:37:36
-302391, 348.19, 15:37:37
-302133, 348.15, 15:37:38
-303329, 349.25, 15:37:39
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 16:20:04
Time of Flight..., 16:20:04
 success!, 16:20:04
Load Cell... success!, 16:20:04
Sensors initiated!, 16:20:04
-408185, 63.86, 16:20:05
-450057, 64.21, 16:20:06
-449555, 64.06, 16:20:07
-450215, 64.13, 16:20:08
-449659, 64.13, 16:20:09
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 16:21:28
Time of Flight..., 16:21:28
 success!, 16:21:29
Load Cell... success!, 16:21:29
Sensors initiated!, 16:21:29
-411479, 63.70, 16:21:30
-454383, 63.86, 16:21:31
-454961, 63.70, 16:21:32
-454367, 63.39, 16:21:33
-454617, 63.82, 16:21:34
-455047, 63.58, 16:21:35
-461031, 64.17, 16:21:36




fhhfgjrhgjhwskhfskhfkjshfkjhgkjhskgrjhsgfiuhkiuh


load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 16:23:19
Time of Flight..., 16:23:19
 success!, 16:23:19
Load Cell... success!, 16:23:19
Sensors initiated!, 16:23:19
-402313, 65.04, 16:23:20
-442851, 64.61, 16:23:21
-443053, 64.80, 16:23:22
-442557, 64.92, 16:23:23
-442823, 65.00, 16:23:24
-442917, 65.08, 16:23:25
-443427, 64.96, 16:23:26
-444469, 64.92, 16:23:27
-445529, 64.49, 16:23:28
-446317, 64.84, 16:23:29
-488063, 64.76, 16:23:30
-607283, 65.43, 16:23:31
-631325, 65.91, 16:23:32
-650833, 66.85, 16:23:33
-672491, 67.28, 16:23:34
-694435, 68.62, 16:23:35
-719373, 69.21, 16:23:36
-742557, 70.20, 16:23:37
-768969, 70.51, 16:23:38
-798395, 71.85, 16:23:39
-832485, 72.44, 16:23:40
-875809, 73.27, 16:23:41
-946693, 74.53, 16:23:42
-1034201, 75.04, 16:23:43
-1102679, 76.06, 16:23:44
-1154013, 77.32, 16:23:45
-1181647, 78.70, 16:23:46
-1203511, 79.96, 16:23:47
-1220775, 81.30, 16:23:48
-1234381, 82.13, 16:23:49
-1246733, 82.60, 16:23:50
-1257981, 83.86, 16:23:51
-1266205, 85.00, 16:23:52
-1273905, 85.87, 16:23:53
-1280195, 86.02, 16:23:54
-1287225, 87.13, 16:23:55
-1292961, 87.95, 16:23:56
-1298449, 89.76, 16:23:57
-1301727, 91.26, 16:23:58
-1303401, 92.60, 16:23:59
-1306587, 94.09, 16:24:00
-1307215, 95.47, 16:24:01
-1307487, 96.97, 16:24:02
-1307723, 98.74, 16:24:03
-1310029, 100.08, 16:24:04
-1311971, 101.34, 16:24:05
-1313565, 103.11, 16:24:06
-1316213, 104.69, 16:24:07
-1314761, 106.93, 16:24:08
-1317001, 108.74, 16:24:09
-1316877, 110.63, 16:24:10
-1317835, 112.48, 16:24:11
-1318949, 114.02, 16:24:12
-1320019, 115.98, 16:24:13
-1321837, 117.91, 16:24:14
-1323363, 119.61, 16:24:15
-1323251, 121.14, 16:24:16
-1326131, 122.72, 16:24:17
-1327937, 124.53, 16:24:18
-1328659, 126.02, 16:24:19
